cod_prinactivo,Frequency.1,codes,spanish description,english description,comment
1917,1,200479A,ANTIESPASMODICOS URINARIOS EN ASOCIACION,,
567,1,200861A,PREPARADOS NASALES CORTICOIDES,,
1905,1,1904A,MENTOL*,,
241,1,1683A,GRISEOFULVINA,,
1202,1,300681A,GELIFICADOR BOLSAS ILEOSTOMIA,,
1016,1,2797A,ZOLMITRIPTAN,,
658,1,201126A,DIENOGEST + ETINILESTRADIOL,,
1133,1,300327A,IRRIGADOR COMPLETO,,
1181,1,300491A,MEDIA COMP NORMAL,,
1383,1,399A,MEDROXIPROGESTERONA,,
291,1,192A,CEFALEXINA,,
14,1,100263A,GEL PROTECTOR BUCAL,,
1127,1,300259A,"FORMULAS ESPECIALES EXENTAS DE FENILALANINA Y TIROSINA (AA+HC O LIPIDOS, O AMBOS)",,
1658,1,928A,FLUOCINONIDA,,
223,1,1624A,INMUNOGLOBULINA HUMANA NORMAL,,
2115,1,2498HY,EPOETINA BETA,,
789,1,2031A,NITROFURAL,,
1447,1,594A,CICLOPENTOLATO,,
1484,1,69QL,ALUMINIO CLORURO HEXAHIDRATO,,
1743,1,2018A,UROFOLITROPINA,,
2085,1,8045A,SUNITINIB,,
976,1,2706A,FOSFATO DISODICO DODECAHIDRATADO,,
802,1,20A,CLORDIAZEPOXIDO,,
1667,1,979A,MEGLUMINA*,,
2150,1,2144A,PIPOTIAZINA,,
1130,1,300268A,FORMULAS ESPECIALES SIN LACTOSA PARA LACTANTES,,
1745,1,3898A,FOSAMPRENAVIR,,
175,1,138AC,ZINC ACETATO,,
2063,1,200827A,BUTILCAINA + IODOFORMO,,
1721,1,1150A,ETANERCEPT,,
1075,1,300012A,APOSITOS B OSTOM ARO RES SINT,,
382,1,200273A,ISONIXINO + SALICILATO METILO,,
403,1,200336A,NITROGLICERINA + CAFEINA,,
449,1,200574A,NEOMICINA + BECLOMETASONA,,
1119,1,300218A,COMPLETA POLIMERICA NORMOPROTEICA NORMOCALORICA,,
1924,1,100050A,ACIDO PARAMINOSALICILICO (PAS),,
1935,1,115A,PAPAVERINA,,
1825,1,100376A,SUERO AUTOLOGO,,
713,1,201246A,GINKGO BILOBA + MAGNESIO + MELATONINA,,
1024,1,2818A,ZIPRASIDONA,,
2030,1,200845A,ACETILSALICILICO ACIDO + CAFEINA + PIRIDOXINA + GLUCOSA,,
2243,1,200268A,IOXAGLATO MEGLUMINA + IOXAGLATO SODICO,,
1275,1,300848A,COMPLETA POLIMERICA NORMOPROTEICA NORMOCALORICA CON FIBRA,,
2137,1,200562A,FENAZOPIRIDINA + SULFAMETIZOL,,
2270,1,300781A,APOSITO DE ESPUMA POLIURETANO EXTRAGRUESO CON HIDROCOLOIDE Y BORDE,,
1715,1,100393A,BACTERIAS LETI,,
1987,1,7269A,INMUNOGLOBULINA G HUMANA,,
41,1,100333A,CHAMPU ANTICAIDA,,
44,1,100343A,SPRAY BUCAL,,
1630,1,86A,NITROFURANTOINA,,
1882,1,2949A,ANAGRELIDA,,
2053,1,2509A,PAMIDRONATO,,
1162,1,300409A,ESPARADRAPO,,
783,1,201395A,ERGOTAMINA + CAFEINA,,
1434,1,549A,CALCITONINA,,
147,1,125ÑA,SODIO FOSFATO DIBASICO ANHIDRO,,
1174,1,300474A,TIRAS REACTIVAS GLUC.Y ACT.ORINA,,
739,1,201282A,INDACATEROL + GLICOPIRRONIO,,
514,1,200738A,SIMVASTATINA + EZETIMIBA,,
1856,1,200920A,DEXTROMETORFAN + FENILPROPANOLAMIDA,,
776,1,201354A,CLOTRIMAZOL + ACETONIDO TRIAMCINOLONA,,
1244,1,300768A,APOSITO DE ESPUMA POLIURETANO CON HIDROCOLOIDE E HIDROFIBRA,,
887,1,2369A,SELEGILINA,,
333,1,200100A,CLEBOPRIDA + SIMETICONA,,
2273,1,3867A,VIRUS RABIA,,
360,1,200211A,FLUFENAMICO ACIDO + GLUCOSAMINAGLUCONATO + SALICILICO ACIDO,,
483,1,200642A,FLUOCINOLONA ACETONIDO + FRAMICETINA,,
1779,1,201330A,METRONIDAZOL + NEOMICINA SULFATO,,
1733,1,7382A,SAQUINAVIR,,
1538,1,7423A,VALSARTAN,,
270,1,1821A,LACTULOSA,,
937,1,2564A,PALMITICO ACIDO,,
2173,1,1122A,ANTIGENO SUPERFICIE VIRUS GRIPE,,
1627,1,8687A,TREHALOSA,,
148,1,125ÑC,SODIO FOSFATO MONOBASICO ANHIDRO,,
726,1,201264A,FORTASYN CONNECT,,
1999,1,501251LR,ALERGENOS ASAC PHARMACEUTICAL IMMUNOLOGY,,
1235,1,300756A,APOSITO DE ALGINATO,,
1219,1,300714A,ALIMENTOS USO MEDICO,,
394,1,2002A,NAPROXENO,,
1471,1,662A,PIRETANIDA,,
1223,1,300722A,ABSORBENTE INC ORINA DIA ELAST ANAT,,
1049,1,2924A,EPLERENONA,,
1054,1,2936A,FERRIMANITOL OVOALBUMINA,,
872,1,2331A,FLUOXETINA,,
2209,1,300103A,BOLSAS KARAYA ADHESIVO MICROPORO Y FILTRO  50  MM,,
259,1,1776A,INDAPAMIDA,,
379,1,200269A,IPRATROPIO  + SALBUTAMOL,,
1665,1,974A,SULFANILAMIDA,,
2225,1,100163A,VISADO APORT FIJA / SIN APORT,,
1713,1,141A,NICOTINAMIDA*,,
2125,1,1057A,GLIQUIDONA,,
1050,1,2925A,FULVESTRANT,,
1719,1,261A,FUMARICO ACIDO,,
2181,1,200408A,SOL. DIALISIS PERITONEAL (AMINOACIDOS + GLUCOSA + ELECTROLITOS),,
1101,1,300179A,BOLSAS UROST RES SINT ADH  MIC,,
1706,1,300817A,APOSITO DE ESPUMA POLIURETANO CON PLATA FIBRAS SILICONA Y BORDE,,
1046,1,2901A,LEVOCETIRIZINA,,
1545,1,761A,DIFENHIDRAMINA,,
1364,1,3826A,TRIFLUSAL,,
2213,1,300794A,APOSITO DE HIDROFIBRA CON ALGINATO,,
1645,1,89A,CLOXACILINA,,
1768,1,200561A,INDOMETACINA + PREDNISONA,,
1347,1,3655CO,POLIESTIRENO SULFONATO CALCICO,,
225,1,162A,CODEINA,,
511,1,200733A,FLUOCINOLONA + FRAMICETINA + LIDOCAINA,,
1079,1,300016A,APOSITOS B OSTOM RES NAT,,
701,1,201207A,ISOTRETINOINA+ERITROMICINA,,
1415,1,500A,BIPERIDENO,,
1790,1,300852A,ABSORBENTE INC ORINA NOCHE ANAT,,
875,1,233A,ACETILCISTEINA,,
1740,1,201169A,FACTOR VIII + FACTOR VON WILLEBRAND,,
1921,1,3714B,AVENA SATIVA,,
577,1,200876A,CLORHEXIDINA + BENZOCAINA + ENOXOLONA,,
873,1,2338A,MEGESTROL,,
406,1,200340A,OXIBUPROCAINA + TETRACAINA,,
2230,1,1095A,DESIRUDINA,,
1539,1,7429A,DIENOGEST(D.C.I.- R),,
120,1,1172A,ESOMEPRAZOL,,
549,1,200826A,MAGNESIO DIHIDROXIDO + SIMETICONA,,
266,1,1804A,JOSAMICINA,,
1766,1,8392A,PAZOPANIB,,
912,1,2454A,LACTITOL,,
1728,1,1574A,FLUPENTIXOL,,
1691,1,8002A,GLUCOMANANO,,
1893,1,201356A,ACIDO RETINOICO + BETAMETASONA DIPROPIONATO + ACIDO SALICILICO,,
1269,1,300804A,APOSITO MALLA CON SILICONA,,
1422,1,509A,BREA HULLA,,
1410,1,491VA,BETAMETASONA 17-VALERATO,,
622,1,200972A,PARACETAMOL + CLORFENAMINA + DEXTROMETORFANO + ACIDO ASCORBICO + CAFEINA,,
987,1,2734A,LEVOSULPIRIDA,,
1333,1,3404A,HIALURONICO ACIDO,,
125,1,117A,TETRACICLINA,,
128,1,1198A,CALCITRIOL,,
1684,1,201245A,ACIDO GLICOLICO + PROPILENGLICOL + BUTILENGLICOL + ACIDO SALICÍLICO,,
1613,1,8568A,LACTOBACILLUS REUTERI,,
885,1,2364A,CETIRIZINA,,
1155,1,300366A,SOPORTE CINTURON OSTOMIA,,
1789,1,300828A,APOSITO TRAQUEOT-LARING,,
1928,1,201243A,SULFACETAMIDA + BETAMETASONA,,
122,1,1177A,NALOXONA,,
816,1,2141A,OMEPRAZOL,,
1201,1,300660A,APOSITO ADHESIVO FILTRO LARINGECTOMIA,,
1071,1,300007A,ALGODON ARROLLADO MEZCLA,,
1950,1,100446A,CREMA ANTIESTRIAS,,
323,1,200079A,CALCIO CARBONATO + COLECALCIFEROL,,
16,1,100266A,CREMA ANTICELULITICA,,
461,1,200604A,SALMETEROL +  FLUTICASONA (25/50),,
42,1,100339A,CEPILLO DENTAL,,
2238,1,200051A,BARIO SULFATO + DIMETICONA*,,
1416,1,501309LR,ALERGENOS STALLERGENES,,
375,1,200255A,HIERRO FUMARATO + FOLICO ACIDO,,
498,1,200697A,BENZOCAINA + CLOROBUTANOL + ESENCIA TREMENTINA + FENOL,,
1977,1,2305A,INTERFERON BETA HUMANO,,
1390,1,428A,CICLOPIROX,,
2109,1,1706SO,HEPARINA SODICA,,
1369,1,3859A,TRIMETAZIDINA,,
1796,1,8168A,GEFITINIB,,
2036,1,7371A,LAMIVUDINA,,
1677,1,8441A,CRIZOTINIB,,
1508,1,724A,DEXCLORFENIRAMINA,,
1026,1,2824A,TE VERDE,,
1185,1,300522A,BOLSAS COLOST SIST DOBLE ACOPLAMIENTO ADHESIVO,,
1505,1,7230A,TIANEPTINA,,
1626,1,867A,VINBURNINA,,
2119,1,8454A,AFATINIB,,
504,1,200711A,CALCIPOTRIOL + BETAMETASONA,,
1615,1,8593A,OLODATEROL,,
409,1,200350A,PARACETAMOL + ASCORBICO ACIDO,,
112,1,1158A,TIMOLOL,,
1348,1,3655SO,POLIESTIRENO SULFONATO SODICO,,
559,1,200849A,POLIVINILICO ALCOHOL + POLIVIDONA,,
679,1,201166A,CLORURO SODICO + HIALURONATO DE SODIO,,
613,1,200956A,HIERRO SULFATO DESECADO + ACIDO FOLICO,,
881,1,2351A,TORASEMIDA,,
1529,1,7395A,GLIMEPIRIDE,,
2214,1,300814A,SISTEMA FIJACION VIAS CENTRALES,,
1234,1,300754A,APOSITO BASE CON HIDROCOLOIDE CON BORDE,,
1782,1,200776A,BACTERIAS INMUNAL,,
880,1,2350A,ESPAGLUMICO ACIDO,,
1200,1,300659A,FILTRO LARINGECTOMIA,,
1136,1,300343A,MUÑEQUERA,,
926,1,2503A,AMLODIPINO,,
1534,1,7408A,BARNIDIPINA,,
986,1,2731B,POLIETILENGLICOL 4000,,
1419,1,5032A,ATOVACUONA,,
1145,1,300354A,PARCHES OCULARES PEQUEÑOS,,
673,1,201157A,UREA + ACETONIDO TRIAMCINOLONA,,
753,1,201312A,AZELASTINA + FLUTICASONA,,
1098,1,300161A,BOLSAS SISTEMA DOBLE PLACA,,
1489,1,7016A,TRANDOLAPRIL,,
339,1,200123A,CORNEZUELO CENTENO EXTO + PASSIFLORA + SALIX,,
1735,1,300834A,APOSITO DE ALGINATO CON CARBOXIMETILCELULOSA,,
1900,1,123QE,POTASIO CLORATO,,
1942,1,1651B,GLICERINA*,,
722,1,201258A,PRILOCAINA + LIDOCAINA,,
800,1,2097A,NISOLDIPINO,,
158,1,12A,PARACETAMOL,,
164,1,1346A,HIDROQUINIDINA,,
1068,1,300004A,ABSORBENTE INC ORINA DIA RECT,,
2034,1,7235A,IDEBENONA,,
2066,1,1269A,SIROLIMUS,,
1020,1,280A,TEGAFUR,,
975,1,2704A,MIRTAZAPINA,,
1636,1,87A,BISACODILO,,
480,1,200638A,DIENOGEST + ESTRADIOL,,
2001,1,201039A,EMULSION LIPIDICA + AMINOACIDOS CON ELECTROLITOS + GLUCOSA,,
189,1,144A,POLIVITAMINAS SOLAS (DEXPANTENOL),,
386,1,200278A,LEVONORGESTREL +  ESTRADIOL,,
2116,1,501310LR,ALERGENOS PROBELTE PHARMA,,
1481,1,698A,ACIDO CROMOGLICICO,,
137,1,1226A,CASSIA ANGUSTIFOLIA,,
1650,1,9066A,UMECLIDINIO,,
2166,1,780A,DIHIDROERGOTOXINA,,
896,1,2401A,BETAXOLOL,,
414,1,200357A,PARACETAMOL + CODEINA + PROPIFENAZONA  +  CAFEINA + BENFOTIAMINA,,
463,1,200607A,SALMETEROL + FLUTICASONA (25/250),,
972,1,2694A,TACROLIMUS,,
1135,1,300342A,MUSLERA,,
1331,1,3360A,SULODEXIDA,,
1396,1,44A,CLORANFENICOL,,
2021,1,1766A,PROTIRELINA,,
547,1,200821A,CASCARA SAGRADA + ALOE,,
136,1,1220A,CARDO MARIANO,,
1852,1,1071CL,LITIO CLORURO,,
2215,1,300864A,MASCARILLA PARA CAMARA INHALACION INFANTIL,,
478,1,200634A,BETAMETASONA + GENTAMICINA,,
458,1,200596A,NORTRIPTILINA + DIAZEPAM,,
1578,1,8277A,PITAVASTATINA,,
48,1,100374A,ACEITE ROSA MOSQUETA,,
1059,1,2970A,INSULINA GLULISINA,,
2182,1,200412A,SOLUCION GLUCOPLURISALINA,,
1962,1,100292A,CICATRIZANTE Y ANTIESCARAS,,
1601,1,8418A,DENOSUMAB,,
1067,1,300003A,ABSORBENTE INC ORINA DIA ANAT,,
1262,1,300795A,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE,,
772,1,201340A,ATORVASTATINA + EZETIMIBA,,
1948,1,501179LR,ALERGENOS EUROFAR ALERGI,,
1995,1,8377A,POMALIDOMIDA,,
1979,1,201345A,METRONIDAZOL + LIDOCAINA,,
273,1,1840A,LEVONORGESTREL,,
1846,1,1267A,GLYCINE MAX MERR EXTO SECO,,
1122,1,300251A,FILTROS COLOSTOMIA,,
537,1,200796A,NORELGESTROMINA + ETINILESTRADIOL,,
915,1,2462A,NAFARELINA,,
1104,1,300199A,BRAGUERO INGUINAL DERECHO,,
395,1,200305A,METOCLOPRAMIDA + DIMETICONA,,
813,1,2132A,PINAZEPAM,,
1947,1,300746A,COMPRESA TOCOLOGICA DE CELULOSA,,
862,1,2297A,SALBUTAMOL,,
357,1,200182A,ESPIRAMICINA + METRONIDAZOL,,
180,1,1394A,DOXEPINA,,
2075,1,100305A,CREMA DEPILATORIA,,
833,1,2188A,MIDECAMICINA,,
2159,1,321A,MORNIFLUMATO,,
1045,1,2896A,VARDENAFILO,,
365,1,200226A,FOSINOPRIL + HIDROCLOROTIAZIDA,,
1186,1,300525A,BOLSAS ILEOST SIST DOBLE ACOPLAM ADH,,
423,1,200391A,QUINAPRIL + HIDROCLOROTIAZIDA,,
866,1,2303A,LORATADINA,,
1159,1,300383A,VENDA ELASTICA,,
568,1,200862A,BROMHEXINA + DIFENHIDRAMINA + CODEINA + EFEDRINA,,
119,1,1171AD,TRIAMCINOLONA ACETONIDO,,
246,1,1706A,HEPARINA*,,
532,1,200791A,ETINILESTRADIOL + DESOGESTREL,,
677,1,201162A,ACIDO RETINOICO + BETAMETASONA DIPROPIONATO + UREA,,
905,1,2432A,FLUCONAZOL,,
495,1,200677A,PENTOSANO + TIMOL,,
1029,1,2841A,MANIDIPINO,,
172,1,137A,PIKETOPROFENO,,
545,1,200817A,LACTOBACILLUS BIPHIDUS + LACTOBACILLUS ACIDOPHILUS,,
657,1,201125A,DEXCLORFENIRAMINA + ALANTOINA,,
1408,1,48CH,LIDOCAINA CLORHIDRATO,,
1820,1,1055A,OXIBUPROCAINA,,
1868,1,8289A,TOCILIZUMAB,,
1424,1,513A,BROMHEXINA,,
2171,1,100431A,ROXULITINIB,,
1835,1,22SB,MAGNESIO SILICATO,,
852,1,2257A,CILOSTAZOL,,
1220,1,300717A,TOALLITA DESMAQUILLANTE ESTERIL SIN ALCOHOL,,
688,1,201179A,LEVADURA DE CERVEZA + GERMEN DE TRIGO,,
2126,1,109A,MECISTEINA,,
1108,1,300203A,CANULA LARINGUECTOMIA,,
1102,1,300184A,BOLSAS UROST SIST DOBLE PLAC C-ESP,,
1404,1,480A,BENZALCONIO*,,
2006,1,2906A,ADALIMUMAB,,
470,1,200616A,INSULINA LISPRO INTERMEDIA 25:75,,
487,1,200663A,TERBUTALINA + GUAIFENESINA,,
997,1,2758A,LETROZOL,,
143,1,1253A,NATEGLINIDA,,
935,1,2562A,FORMOTEROL,,
1985,1,100400A,VENENO DE HIMENOPTEROS,,
1516,1,7300A,CLOPIDOGREL,,
267,1,1810A,KETOPROFENO,,
289,1,1917A,MESTEROLONA,,
623,1,200987A,FRUCTOSA + MANITOL + SACARINA SODICA,,
1065,1,300001A,ABSORBENTE INC ORINA SUP-NOC ANAT,,
1305,1,3192A,VALERIANA,,
393,1,200299A,MEDROXIPROGESTERONA + TETRIZOLINA,,
1243,1,300766A,APOSITO DE ESPUMA POLIURETANO CON GEL,,
551,1,200832A,VALERIANA + CRATAEGUS OXIACANTA + PASSIFLORA + ESENCIA DE AZAHAR,,
159,1,1301A,ESTRIOL,,
1511,1,7275A,PANTOPRAZOL,,
2161,1,622A,CLOFAZIMINA,,
1087,1,300084A,BOLSAS ILEOST SISTEMA DOBLE PLACA,,
1317,1,3255A,TETRACAINA,,
957,1,2630A,MOXONIDINA,,
442,1,200516A,VIOLETA DE GENCIANA EN ASOCIACION,,
2184,1,200492A,EMODINA EN ASOCIACION,,
1861,1,200032A,AMPICILINA  +  AMPICILINA-BENZATINA,,
1051,1,2930A,OLMESARTAN,,
55,1,100404A,BRAGA,,
1441,1,567A,CARBOCISTEINA,,
1268,1,300803A,APOSITO MALLA CON PLATA,,
482,1,200641A,METOCARBAMOL + PARACETAMOL,,
1971,1,300729A,GUANTE LATEX,,
303,1,1967A,MICONAZOL,,
110,1,1142A,BRINZOLAMIDA,,
971,1,2693A,QUINAGOLIDA,,
68,1,100457A,ACIDOS GRASOS,,
1913,1,3702A,HIPERICO,,
25,1,100281A,ADHESIVO PROTESIS DENTAL,,
1131,1,300270A,GASA ALGODON HIDROFILO NO ESTERIL,,
839,1,2208A,PROCICLIDINA,,
1371,1,3865A,DANAZOL,,
1455,1,617A,CLIOQUINOL,,
94,1,1099A,TELMISARTAN,,
1792,1,8089A,LENALIDOMIDA,,
2044,1,1074A,FOLITROPINA BETA,,
13,1,100262A,GEL LUBRICANTE HIDROSOLUBLE,,
2042,1,8074A,DARUNAVIR,,
2155,1,300253A,FUNDA OSTOMIA,,
684,1,201173A,TELMISARTAN + AMLODIPINO,,
2164,1,7351A,OXALIPLATINO,,
1857,1,8039A,HIERRO CARBOXIMALTOSA,,
927,1,2524A,VIGABATRINA,,
1267,1,300802A,APOSITO MALLA CON HIDROCOLOIDE Y VASELINA,,
1047,1,2916A,EVEROLIMUS,,
1411,1,497A,IOHEXOL,,
1734,1,200846A,ACEITE CACHUETE + BREA VEGETAL + ACEITE ENEBRO + BREA  DE HULLA,,
1083,1,300033A,BOLSAS ILEOST RESINA SINTETICA,,
2019,1,201077A,SOLUCION GLUCOSALINA PERFUSION,,
1637,1,880A,ETOFENAMATO,,
2,1,100022A,TETRABENAZINA,,
392,1,200298A,MEDROXIPROGESTERONA + ESTRADIOL,,
542,1,200804A,SALICILATO + ALCANFOR + MENTOL,,
1720,1,501296LR,ALERGENOS ALLERGY THERAPEUTICS,,
1902,1,300829A,APOSITO ALGINATO CON PLATA,,
1479,1,686A,LOPRAZOLAM,,
1482,1,698DN,CROMOGLICATO DISODICO,,
1259,1,300790A,APOSITO DE HIDROCOLOIDE EXTRAFINO CON VASELINA,,
2265,1,2990A,PALONOSETRON,,
430,1,200461A,TOXOIDE  DIFTERICO + TOXOIDE  TETANICO,,
1986,1,200813A,ESENCIA SATUREIA HORTENSIS + GINSENG SIBERIANO,,
1036,1,2863A,ETORICOXIB,,
2080,1,300102A,BOLSAS KARAYA ADHESIVO MICROPORO Y FILTRO  45 MM,,
1936,1,1181A,GANIRELIX (D.O.E),,
1270,1,300805A,APOSITO POLIPROPILENO NO ADHESIVO,,
1265,1,300800A,APOSITO DE HIDROGEL EN MALLA,,
311,1,200010A,ACETILSALICILICO ACIDO + PARACETAMOL + CAFEINA,,
1276,1,300850A,COMPLETA POLIMERICAS NORMOPROTEICA HIPOCALORICA CON FIBRA,,
1922,1,100342A,PLANTILLA,,
380,1,200270A,IRBESARTAN + HIDROCLOROTIAZIDA,,
411,1,200354A,PARACETAMOL + CODEINA,,
2145,1,201061A,MELITRACENO + FLUPENTIXOL,,
1619,1,8615A,DAPAGLIFLOZINA,,
1230,1,300731A,TAPON OIDO,,
2012,1,2972A,OXIGENO,,
692,1,201188A,ALCOHOL BORICADO,,
8,1,100190A,ACIDO DOCOSAHEXANOICO,,
752,1,201310A,ALOE + HAMAMELIS + HARPAGOFITO + RUSCUS + CENTELLA + PROPOLEO,,
1137,1,300344A,MUÑEQUERA FERULA,,
347,1,200156A,DIHIDROERGOCRISTINA + PIRACETAM,,
1433,1,548A,NADOLOL,,
1940,1,8217A,LAPATINIB,,
768,1,201333A,CITRATO MAGNESIO + CITRATO POTASIO +GINSENG + CITRUS LIMON,,
253,1,1742A,HIERRO,,
2055,1,2827A,AGALSIDASA BETA,,
1765,1,300824A,PAÑAL,,
519,1,200750A,AMLODIPINO + ATORVASTATINA,,
2147,1,201216A,PYGEUM AFRICANUM + ECHINACEA ANGUSTIFOLIA + SABAL SERRULATA,,
1206,1,300691A,MODULOS DE AMINOACIDOS,,
160,1,131A,BORICO ACIDO*,,
1975,1,5093A,RITONAVIR,,
444,1,200535A,FORMOTEROL + BUDESONIDA,,
1742,1,300841A,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE CON SULFADIAZINA ARGENTICA,,
914,1,2460A,ZUCLOPENTIXOL,,
476,1,200632A,LAURILSULFATOSODICO + CITRATO TRISODICO,,
660,1,201128A,SOLUCION ELECTROLITOS + ZINC,,
600,1,200931A,AMITRIPTILINA + MEDAZEPAM,,
934,1,2558A,SERTACONAZOL,,
809,1,2120A,PERFENAZINA,,
1862,1,501297LR,BACTERIAS BIOMED,,
994,1,2754A,DORZOLAMIDA,,
612,1,200954A,BUPRENORFINA + NALOXONA,,
1312,1,3221A,WARFARINA,,
1988,1,22SU,MAGNESIO SULFATO,,
995,1,2756A,SERTINDOL,,
2148,1,201277A,CALCIO + FOSFORO,,
696,1,201200A,SULFATO DE COBRE SOLUCION,,
795,1,2061A,BIFONAZOL,,
855,1,2273A,RIFAMPICINA,,
1562,1,8094A,PALIPERIDONA,,
271,1,1839A,LEVOMEPROMAZINA,,
1625,1,865A,DOMPERIDONA,,
814,1,2137A,FENTICONAZOL,,
916,1,2470A,FOSINOPRIL,,
1756,1,8043A,ENTECAVIR,,
329,1,200092A,CETIRIZINA + PSEUDOEFEDRINA,,
1607,1,8474A,RETIGABINA,,
998,1,2759A,TIAGABINA,,
1345,1,363A,SOTALOL,,
1655,1,913A,TICLOPIDINA,,
18,1,100268A,FOTOPROTECTOR SOLAR,,
765,1,201329A,LIDOCAINA + TRIAMCINOLONA + KETOCONAZOL,,
280,1,1873A,MAPROTILINA,,
1688,1,304A,ACEITE ALMENDRAS DULCES,,
17,1,100267A,CREMA HIDRATANTE CORPORAL,,
603,1,200935A,POTASIO IODURO + CIANOCOBALAMINA + ACIDO FOLICO,,
884,1,2363A,FLECAINIDA,,
2123,1,8311A,VIRUS ENCEFALITIS JAPONESA CEPA SA 14-2 INACTIVADA,,
665,1,201137A,ACIDO FUSIDICO + HIDROCORTISONA,,
2088,1,1151A,PEGINTERFERON ALFA 2B,,
1910,1,300843A,SONDA RECTAL + ACCESORIOS (15 U + 1 CONTENEDOR DE AGUA),,
993,1,2752A,TINZAPARINA,,
1315,1,3253A,NIFEDIPINO,,
499,1,2006A,NOSCAPINA,,
2253,1,200883A,DOCUSATO SODICO + CASANTRANOL + CARMELOSA SODICA,,
589,1,200904A,OXIMETAZOLINA + MENTOL,,
1340,1,34CH,PIRIDOXINA CLORHIDRATO,,
1760,1,201352A,DARUNAVIR + COBICISTAT,,
1983,1,300815A,SISTEMA FIJACION DE VIAS PEDIATRICO,,
832,1,2187A,BISMUTO SUBCITRATO COLOIDAL,,
2110,1,300738A,JERINGA INSULINA CON AGUJA,,
165,1,1348A,OXICODONA,,
512,1,200735A,SALICILICO ACIDO + MOMETASONA,,
708,1,201235A,SAXAGLIPTINA + METFORMINA,,
1073,1,300010A,ALGODON ZIG-ZAG MEZCLA,,
1109,1,300204A,CANULA TRAQUEOTOMIA,,
70,1,100490A,ABOSRBENTE INC ORINA SUPER NOCHE PANTS,,
233,1,1657A,GLICLAZIDA,,
43,1,100340A,AGUA GELIFICADA,,
404,1,200337A,NORETISTERONA  + ESTRADIOL (DOSIS FIJAS),,
528,1,200786A,IRBESARTAN + HIDROCLOROTIAZIDA (300/25) MG,,
105,1,1132A,PRAZOSINA,,
2127,1,1102A,ZALEPLON,,
936,1,2563A,AZELASTINA,,
304,1,1971A,MINOCICLINA,,
960,1,2641A,GABAPENTINA,,
39,1,100330A,TOALLITA DESMAQUILLANTE OCULAR,,
284,1,189A,CEFTAZIDIMA,,
2198,1,2233A,PROTIONAMIDA,,
2177,1,160B,ESTRADIOL 17 ALFA,,
1823,1,200893A,PREPARADOS EXPECTORANTES,,
2271,1,300809A,APOSITO BIOSINTETICO PARA QUEMADOS,,
422,1,200389A,PYGEUM AFRICANUM + BENCIDAMINA,,
1151,1,300362A,SONDA RECTAL,,
138,1,123A,POTASIO,,
1919,1,7304A,MERCAPTAMINA,,
749,1,201306A,EXTO LLANTEN + EXTO GRINDELIA + EXTO HELICRISO + MIEL + ACEITES ESENCIALES,,
1260,1,300791A,APOSITO DE HIDROCOLOIDE TRANSPARENTE,,
1751,1,7075A,DIDANOSINA,,
1352,1,36A,COLECALCIFEROL,,
1859,1,200809A,DEXTRANO 70 + HIPROMELOSA,,
1048,1,2919A,SOLIFENACINA,,
1281,1,300866A,PARCHE TERMICO,,
1031,1,2846A,BROMURO DE TIOTROPIO (D.O.E),,
1166,1,300424A,VENDA GASA HIDROFILA,,
901,1,2418A,MOMETASONA,,
2132,1,195A,TERFENADINA,,
217,1,1599A,FOSFOMICINA,,
1121,1,300250A,ESPECIALES,,
1938,1,2689A,RH DNASA,,
942,1,2575A,ONDANSETRON,,
1382,1,395A,AMITRIPTILINA,,
712,1,201244A,ACEITE DE ALGAS+ZEXANTINA+LUTEINA+DHA+TOCOFEROL+ACIDO ASCÓRBICO,,
863,1,2299A,MEMANTINA,,
1263,1,300796A,APOSITO DE HIDROFIBRA DE HIDROCOLOIDE CON PLATA,,
53,1,100402A,LOCION ANTICAIDA,,
86,1,1077A,ORLISTAT,,
1828,1,200805A,PASSIFLORA + VALERIANA,,
407,1,200341A,OXITETRACICLINA + POLIMIXINA B,,
1326,1,3319A,BROMOCRIPTINA,,
1389,1,418A,METOTREXATO,,
103,1,1128A,PROMESTRIENO,,
505,1,200723A,ETAMBUTOL + ISONIAZIDA + PIRAZINAMIDA + RIFAMICINA,,
1641,1,88A,LORMETAZEPAM,,
60,1,100418A,ALERGENOS LETI,,
2129,1,1490A,FACTOR IX,,
1168,1,300467A,VENDA DE MALLA HIDROFILA,,
1651,1,9097A,DULAGLUTIDA,,
1222,1,300720A,CANULA TRAQUEOTOMIA FENESTRADA,,
1296,1,3157A,TRANEXAMICO ACIDO,,
1598,1,837A,CLOBETASONA,,
1236,1,300757A,APOSITO DE ALGINATO CON  Zn+Mn+Ca,,
1864,1,2718OY,ECHINACEA PURPUREA TINTURA RAIZ,,
1086,1,300080A,BOLSAS ILEOST SIST DOBLE PLAC C-ESP,,
36,1,100304A,SOLUCION SECANTE,,
405,1,200339A,NORETISTERONA + ESTRADIOL (DOSIS SECUENCIALES),,
433,1,200472A,VINCAMINA + PIRACETAM,,
501,1,200703A,CIANOCOBALAMINA + DEXAMETASONA + TIAMINA + LIDOCAINA,,
1652,1,90A,TRIMETOPRIM,,
1982,1,2571B,HIDROXIPROPILMETILCELULOSA*,,
