cie9p,Frequency.3,codes,spanish description,english description,comment
0KQL0ZZ        ,10,Unknown,Unknown,,
0LC80ZZ        ,10,Unknown,Unknown,,
BF46ZZZ        ,10,Unknown,Unknown,,
0Y6X0Z1        ,10,Unknown,Unknown,,
0SGM34Z        ,10,Unknown,Unknown,,
0THB4MZ        ,10,Unknown,Unknown,,
93.67          ,10,37,OTRO TRATAMIENTO MANIPULATIVO OSTEOPATICO ESPECIFICADO,,
B41D1ZZ        ,10,Unknown,Unknown,,
0UL77ZZ        ,10,Unknown,Unknown,,
0SR901A        ,10,Unknown,Unknown,,
0T5D8ZZ        ,10,Unknown,Unknown,,
0B114F4        ,10,Unknown,Unknown,,
0FP4X0Z        ,10,Unknown,Unknown,,
0TP930Z        ,10,Unknown,Unknown,,
07BH4ZX        ,10,Unknown,Unknown,,
0858XZZ        ,10,Unknown,Unknown,,
0LN14ZZ        ,10,Unknown,Unknown,,
0VBF3ZZ        ,10,Unknown,Unknown,,
42.83          ,10,1468,CIERRE DE ESOFAGOSTOMIA,,
45.11          ,10,Unknown,Unknown,,
0H5CXZZ        ,10,Unknown,Unknown,,
13.00          ,10,Unknown,Unknown,,
98.29          ,10,Unknown,Unknown,,
0Y6T0Z1        ,10,Unknown,Unknown,,
0QPK34Z        ,10,Unknown,Unknown,,
10.42          ,10,1290,RECONSTRUCCION DE FONDO DE SACO CONJUNTIVAL CON INJERTO LIBR,,
0LBP0ZZ        ,10,Unknown,Unknown,,
0D1M0J4        ,10,Unknown,Unknown,,
06.50          ,10,20,"TIROIDECTOMIA SUBESTERNAL, NO ESPECIFICADA DE OTRA MANERA",,
0QQR3ZZ        ,10,Unknown,Unknown,,
03CJ4ZZ        ,10,Unknown,Unknown,,
0QS034Z        ,10,Unknown,Unknown,,
0F794ZZ        ,10,Unknown,Unknown,,
84.44          ,10,Unknown,Unknown,,
0HBT8ZZ        ,10,Unknown,Unknown,,
0SHD04Z        ,10,Unknown,Unknown,,
09BN8ZX        ,10,Unknown,Unknown,,
2W3MX3Z        ,10,Unknown,Unknown,,
BT1DZZZ        ,10,Unknown,Unknown,,
B31NYZZ        ,10,Unknown,Unknown,,
04WY0JZ        ,10,Unknown,Unknown,,
3E00X4Z        ,10,Unknown,Unknown,,
0Y6Q0Z2        ,10,Unknown,Unknown,,
BR2F1ZZ        ,10,Unknown,Unknown,,
0PSFXZZ        ,10,Unknown,Unknown,,
0SP30AZ        ,10,Unknown,Unknown,,
0RBL0ZZ        ,10,Unknown,Unknown,,
08RRX7Z        ,10,Unknown,Unknown,,
BP0DZZZ        ,10,Unknown,Unknown,,
0JB50ZX        ,10,Unknown,Unknown,,
02RG0KZ        ,10,Unknown,Unknown,,
0RG10K0        ,10,Unknown,Unknown,,
08ND3ZZ        ,10,Unknown,Unknown,,
41.99          ,10,Unknown,Unknown,,
0HQMXZZ        ,10,Unknown,Unknown,,
0SQQ3ZZ        ,10,Unknown,Unknown,,
BR40ZZZ        ,10,Unknown,Unknown,,
0CBS4ZX        ,10,Unknown,Unknown,,
06LQ3ZZ        ,10,Unknown,Unknown,,
0PBQ0ZZ        ,10,Unknown,Unknown,,
08H005Z        ,10,Unknown,Unknown,,
0PHG04Z        ,10,Unknown,Unknown,,
0D160Z9        ,10,Unknown,Unknown,,
F02Z2ZZ        ,10,Unknown,Unknown,,
BN25YZZ        ,10,Unknown,Unknown,,
0D9Q80Z        ,10,Unknown,Unknown,,
001U0J6        ,10,Unknown,Unknown,,
00HU43Z        ,10,Unknown,Unknown,,
0JUL0JZ        ,10,Unknown,Unknown,,
97.13          ,10,Unknown,Unknown,,
BF181ZZ        ,10,Unknown,Unknown,,
0FB43ZX        ,10,Unknown,Unknown,,
02HL4KZ        ,10,Unknown,Unknown,,
0SRR01A        ,10,Unknown,Unknown,,
86.92          ,10,Unknown,Unknown,,
0JB13ZZ        ,10,Unknown,Unknown,,
0KBC0ZZ        ,10,Unknown,Unknown,,
2W24X4Z        ,10,Unknown,Unknown,,
0WB63ZX        ,10,Unknown,Unknown,,
0CB43ZX        ,10,Unknown,Unknown,,
94.26          ,10,Unknown,Unknown,,
0SHG04Z        ,10,Unknown,Unknown,,
BQ0JZZZ        ,10,Unknown,Unknown,,
03LG4ZZ        ,10,Unknown,Unknown,,
0J9P0ZZ        ,10,Unknown,Unknown,,
0HQQXZZ        ,10,Unknown,Unknown,,
0TQ70ZZ        ,10,Unknown,Unknown,,
0KB80ZZ        ,10,Unknown,Unknown,,
84.84          ,10,Unknown,Unknown,,
0QUF4JZ        ,10,Unknown,Unknown,,
07923ZX        ,10,Unknown,Unknown,,
0JNJ0ZZ        ,10,Unknown,Unknown,,
0CQ4XZZ        ,10,Unknown,Unknown,,
78.33          ,10,Unknown,Unknown,,
027G3ZZ        ,10,Unknown,Unknown,,
015P3ZZ        ,10,Unknown,Unknown,,
02HL3MZ        ,10,Unknown,Unknown,,
0J9L0ZZ        ,10,Unknown,Unknown,,
02L70ZK        ,10,Unknown,Unknown,,
5A0935B        ,10,Unknown,Unknown,,
0JDN3ZZ        ,10,Unknown,Unknown,,
0U9L00Z        ,10,Unknown,Unknown,,
0KQD0ZZ        ,10,Unknown,Unknown,,
0RPM04Z        ,10,Unknown,Unknown,,
42.51          ,10,Unknown,Unknown,,
02703D6        ,10,Unknown,Unknown,,
0B913ZZ        ,10,Unknown,Unknown,,
0Y6N0ZC        ,10,Unknown,Unknown,,
06DN0ZZ        ,10,Unknown,Unknown,,
21.04          ,10,Unknown,Unknown,,
0UHC31Z        ,10,Unknown,Unknown,,
12.82          ,10,Unknown,Unknown,,
0C9M0ZZ        ,10,Unknown,Unknown,,
96.47          ,10,Unknown,Unknown,,
0LQM0ZZ        ,10,Unknown,Unknown,,
0SRA019        ,10,Unknown,Unknown,,
0CQM0ZZ        ,10,Unknown,Unknown,,
0TFBXZZ        ,10,Unknown,Unknown,,
55.32          ,10,Unknown,Unknown,,
03C73ZZ        ,10,Unknown,Unknown,,
0B998ZX        ,10,Unknown,Unknown,,
0SSB3ZZ        ,10,Unknown,Unknown,,
009T3ZX        ,10,Unknown,Unknown,,
0DQ40ZZ        ,10,Unknown,Unknown,,
B40BYZZ        ,10,Unknown,Unknown,,
0DCP7ZZ        ,10,Unknown,Unknown,,
0RSK4ZZ        ,10,Unknown,Unknown,,
0JXK0ZB        ,10,Unknown,Unknown,,
0T503ZZ        ,10,Unknown,Unknown,,
3E0H7GC        ,10,Unknown,Unknown,,
0Y6X0Z2        ,10,Unknown,Unknown,,
4A14XB1        ,10,Unknown,Unknown,,
BQ01YZZ        ,10,Unknown,Unknown,,
0HXHXZZ        ,10,Unknown,Unknown,,
98.12          ,10,Unknown,Unknown,,
0VN08ZZ        ,10,Unknown,Unknown,,
65.74          ,10,300,SUTURA SIMPLE LAPAROSCOPICA DE OVARIO,,
0UTMXZZ        ,10,Unknown,Unknown,,
BP2TZZZ        ,10,Unknown,Unknown,,
0SJ94ZZ        ,10,Unknown,Unknown,,
0B5K0ZZ        ,10,Unknown,Unknown,,
3E0P8GC        ,10,Unknown,Unknown,,
0T180JC        ,10,Unknown,Unknown,,
0PPN04Z        ,10,Unknown,Unknown,,
0DNL0ZZ        ,10,Unknown,Unknown,,
02QW0ZZ        ,10,Unknown,Unknown,,
04LF3DZ        ,10,Unknown,Unknown,,
0WJR0ZZ        ,10,Unknown,Unknown,,
14.31          ,10,Unknown,Unknown,,
0JC10ZZ        ,10,Unknown,Unknown,,
047K4ZZ        ,10,Unknown,Unknown,,
0LQL0ZZ        ,10,Unknown,Unknown,,
0SSFXZZ        ,10,Unknown,Unknown,,
0Q870ZZ        ,10,Unknown,Unknown,,
09B30ZZ        ,10,Unknown,Unknown,,
08QR3ZZ        ,10,Unknown,Unknown,,
03UL0JZ        ,10,Unknown,Unknown,,
31.63          ,10,1915,REVISION DE LARINGOSTOMIA,,
0JR137Z        ,10,Unknown,Unknown,,
25.09          ,10,Unknown,Unknown,,
0LM70ZZ        ,10,Unknown,Unknown,,
82.59          ,10,Unknown,Unknown,,
0QP034Z        ,10,Unknown,Unknown,,
0QHH05Z        ,10,Unknown,Unknown,,
0QH034Z        ,10,Unknown,Unknown,,
0BBR0ZZ        ,10,Unknown,Unknown,,
DV10BYZ        ,10,Unknown,Unknown,,
06DM0ZZ        ,10,Unknown,Unknown,,
B320Z2Z        ,10,Unknown,Unknown,,
97.52          ,10,Unknown,Unknown,,
07B53ZZ        ,10,Unknown,Unknown,,
0YQ53ZZ        ,10,Unknown,Unknown,,
06LQ0CZ        ,10,Unknown,Unknown,,
B428YZZ        ,10,Unknown,Unknown,,
BT21ZZZ        ,10,Unknown,Unknown,,
33.1           ,10,Unknown,Unknown,,
0DPW00Z        ,10,Unknown,Unknown,,
00Q10ZZ        ,10,Unknown,Unknown,,
BT1BYZZ        ,10,Unknown,Unknown,,
97.31          ,10,1881,EXTRACCION DE PROTESIS OCULAR,,
BP2AZZZ        ,10,Unknown,Unknown,,
00W63JZ        ,10,Unknown,Unknown,,
0W963ZZ        ,10,Unknown,Unknown,,
02U53JZ        ,10,Unknown,Unknown,,
0B9F8ZX        ,10,Unknown,Unknown,,
0RBP4ZZ        ,10,Unknown,Unknown,,
53.39          ,10,1066,OTRA HERNIORRAFIA CRURAL BILATERAL,,
70.72          ,10,1774,REPARACION DE FISTULA COLOVAGINAL,,
F08F5BZ        ,10,Unknown,Unknown,,
047C4DZ        ,10,Unknown,Unknown,,
01.41          ,10,Unknown,Unknown,,
0SBC4ZX        ,10,Unknown,Unknown,,
0WB40ZZ        ,10,Unknown,Unknown,,
BG43ZZZ        ,10,Unknown,Unknown,,
0FT90ZZ        ,10,Unknown,Unknown,,
00QY0ZZ        ,10,Unknown,Unknown,,
57.21          ,10,Unknown,Unknown,,
0KTJ0ZZ        ,10,Unknown,Unknown,,
0R9M3ZZ        ,10,Unknown,Unknown,,
0QSKXZZ        ,10,Unknown,Unknown,,
0H94XZZ        ,10,Unknown,Unknown,,
0J960ZZ        ,10,Unknown,Unknown,,
B30TYZZ        ,10,Unknown,Unknown,,
B32T0ZZ        ,10,Unknown,Unknown,,
95.47          ,10,Unknown,Unknown,,
21.4           ,10,1140,RESECCION DE NARIZ,,
0CBS0ZX        ,10,Unknown,Unknown,,
BT0BYZZ        ,10,Unknown,Unknown,,
0RBM0ZZ        ,10,Unknown,Unknown,,
57.88          ,10,Unknown,Unknown,,
0S9C30Z        ,10,Unknown,Unknown,,
BF37YZZ        ,10,Unknown,Unknown,,
0BBC0ZX        ,10,Unknown,Unknown,,
0PPT04Z        ,10,Unknown,Unknown,,
B414YZZ        ,10,Unknown,Unknown,,
027V3DZ        ,10,Unknown,Unknown,,
09988ZZ        ,10,Unknown,Unknown,,
04Q03ZZ        ,10,Unknown,Unknown,,
0VRB0JZ        ,10,Unknown,Unknown,,
0CB20ZZ        ,10,Unknown,Unknown,,
0HRCX74        ,10,Unknown,Unknown,,
0TQ34ZZ        ,10,Unknown,Unknown,,
0UMG0ZZ        ,10,Unknown,Unknown,,
96.42          ,10,Unknown,Unknown,,
16.64          ,10,Unknown,Unknown,,
04CM3ZZ        ,10,Unknown,Unknown,,
0YQ54ZZ        ,10,Unknown,Unknown,,
09UK07Z        ,10,Unknown,Unknown,,
0VTQ4ZZ        ,10,Unknown,Unknown,,
01N93ZZ        ,10,Unknown,Unknown,,
B338YZZ        ,10,Unknown,Unknown,,
09BL4ZZ        ,10,Unknown,Unknown,,
0JH600Z        ,10,Unknown,Unknown,,
0KBD0ZZ        ,10,Unknown,Unknown,,
0PS934Z        ,10,Unknown,Unknown,,
0B9J3ZX        ,10,Unknown,Unknown,,
BT14ZZZ        ,10,Unknown,Unknown,,
0JQ60ZZ        ,10,Unknown,Unknown,,
B3001ZZ        ,10,Unknown,Unknown,,
0JQQ0ZZ        ,10,Unknown,Unknown,,
0RBQ0ZZ        ,10,Unknown,Unknown,,
0B918ZX        ,10,Unknown,Unknown,,
BT0BZZZ        ,10,Unknown,Unknown,,
0TB78ZZ        ,10,Unknown,Unknown,,
0HD8XZZ        ,10,Unknown,Unknown,,
3E06317        ,10,Unknown,Unknown,,
0TBD7ZZ        ,10,Unknown,Unknown,,
77.5           ,10,10,EXCISION DE BURSITIS Y HALLUX VALGUS,,
08P10JZ        ,10,Unknown,Unknown,,
BH3JZZZ        ,10,Unknown,Unknown,,
08B03ZZ        ,9,Unknown,Unknown,,
0DQ50ZZ        ,9,Unknown,Unknown,,
07B40ZX        ,9,Unknown,Unknown,,
0RB34ZZ        ,9,Unknown,Unknown,,
0PSS04Z        ,9,Unknown,Unknown,,
009640Z        ,9,Unknown,Unknown,,
42.87          ,9,Unknown,Unknown,,
0DTB4ZZ        ,9,Unknown,Unknown,,
98.11          ,9,Unknown,Unknown,,
0DB60ZX        ,9,Unknown,Unknown,,
08U10JZ        ,9,Unknown,Unknown,,
38.10          ,9,Unknown,Unknown,,
0NSM04Z        ,9,Unknown,Unknown,,
04UL0KZ        ,9,Unknown,Unknown,,
3E0304Z        ,9,Unknown,Unknown,,
0CTX0Z2        ,9,Unknown,Unknown,,
0VB53ZZ        ,9,Unknown,Unknown,,
59.12          ,9,Unknown,Unknown,,
0TCB7ZZ        ,9,Unknown,Unknown,,
0D5H8ZZ        ,9,Unknown,Unknown,,
0HN5XZZ        ,9,Unknown,Unknown,,
0F9G3ZZ        ,9,Unknown,Unknown,,
95.24          ,9,Unknown,Unknown,,
0WB20ZX        ,9,Unknown,Unknown,,
0T787DZ        ,9,Unknown,Unknown,,
30230R1        ,9,Unknown,Unknown,,
03UK0JZ        ,9,Unknown,Unknown,,
05HY03Z        ,9,Unknown,Unknown,,
0NR00JZ        ,9,Unknown,Unknown,,
0WBF4ZZ        ,9,Unknown,Unknown,,
0RSJ4ZZ        ,9,Unknown,Unknown,,
0N5T0ZZ        ,9,Unknown,Unknown,,
0DHQ7DZ        ,9,Unknown,Unknown,,
3E0T3TZ        ,9,Unknown,Unknown,,
2W31X1Z        ,9,Unknown,Unknown,,
0SH934Z        ,9,Unknown,Unknown,,
0MNN4ZZ        ,9,Unknown,Unknown,,
0D5L8ZZ        ,9,Unknown,Unknown,,
08RNXJZ        ,9,Unknown,Unknown,,
047K3D1        ,9,Unknown,Unknown,,
91.81          ,9,Unknown,Unknown,,
0T9B8ZX        ,9,Unknown,Unknown,,
BQ0KZZZ        ,9,Unknown,Unknown,,
0RG20AJ        ,9,Unknown,Unknown,,
B446ZZZ        ,9,Unknown,Unknown,,
0WQ0XZZ        ,9,Unknown,Unknown,,
02L73CK        ,9,Unknown,Unknown,,
0CN7XZZ        ,9,Unknown,Unknown,,
0SSB0ZZ        ,9,Unknown,Unknown,,
07BJ4ZZ        ,9,Unknown,Unknown,,
0U5MXZZ        ,9,Unknown,Unknown,,
0SG34J1        ,9,Unknown,Unknown,,
0D738DZ        ,9,Unknown,Unknown,,
03CJ0ZZ        ,9,Unknown,Unknown,,
0FB10ZX        ,9,Unknown,Unknown,,
0UCC7ZZ        ,9,Unknown,Unknown,,
0W984ZZ        ,9,Unknown,Unknown,,
0HD4XZZ        ,9,Unknown,Unknown,,
B02BZZZ        ,9,Unknown,Unknown,,
0W950ZZ        ,9,Unknown,Unknown,,
3E06329        ,9,Unknown,Unknown,,
90.83          ,9,Unknown,Unknown,,
08BJ3ZZ        ,9,Unknown,Unknown,,
03LG0CZ        ,9,Unknown,Unknown,,
0DB84ZX        ,9,Unknown,Unknown,,
62.61          ,9,Unknown,Unknown,,
0WPB30Z        ,9,Unknown,Unknown,,
3E0G8SF        ,9,Unknown,Unknown,,
0J9C0ZZ        ,9,Unknown,Unknown,,
047C34Z        ,9,Unknown,Unknown,,
BP2W0ZZ        ,9,Unknown,Unknown,,
0BB33ZX        ,9,Unknown,Unknown,,
09U80JZ        ,9,Unknown,Unknown,,
0VUSXJZ        ,9,Unknown,Unknown,,
00HV4MZ        ,9,Unknown,Unknown,,
0HRT076        ,9,Unknown,Unknown,,
00.67          ,9,Unknown,Unknown,,
0W9F3ZX        ,9,Unknown,Unknown,,
0JQP0ZZ        ,9,Unknown,Unknown,,
0QB74ZZ        ,9,Unknown,Unknown,,
0KBP0ZZ        ,9,Unknown,Unknown,,
0F523ZZ        ,9,Unknown,Unknown,,
0DTF8ZZ        ,9,Unknown,Unknown,,
F0DZ7FZ        ,9,Unknown,Unknown,,
0TS04ZZ        ,9,Unknown,Unknown,,
0S9F3ZX        ,9,Unknown,Unknown,,
0SQP3ZZ        ,9,Unknown,Unknown,,
42.62          ,9,Unknown,Unknown,,
09B4XZZ        ,9,Unknown,Unknown,,
07.64          ,9,Unknown,Unknown,,
30240N1        ,9,Unknown,Unknown,,
0QPH35Z        ,9,Unknown,Unknown,,
11.29          ,9,1162,OTROS PROCEDIMIENTOS DIAGNOSTICOS SOBRE CORNEA,,
0UVC7DZ        ,9,Unknown,Unknown,,
BQ3MY0Z        ,9,Unknown,Unknown,,
0JD63ZZ        ,9,Unknown,Unknown,,
BP0EZZZ        ,9,Unknown,Unknown,,
0QPG35Z        ,9,Unknown,Unknown,,
BY48ZZZ        ,9,Unknown,Unknown,,
CB3YYZZ        ,9,Unknown,Unknown,,
0W980ZZ        ,9,Unknown,Unknown,,
0SG904Z        ,9,Unknown,Unknown,,
B34JZZ3        ,9,Unknown,Unknown,,
0QS204Z        ,9,Unknown,Unknown,,
0S9C0ZZ        ,9,Unknown,Unknown,,
02H433Z        ,9,Unknown,Unknown,,
0211099        ,9,Unknown,Unknown,,
0KQ60ZZ        ,9,Unknown,Unknown,,
BN2FZZZ        ,9,Unknown,Unknown,,
0BB53ZX        ,9,Unknown,Unknown,,
0W994ZX        ,9,Unknown,Unknown,,
B4141ZZ        ,9,Unknown,Unknown,,
0TPD0JZ        ,9,Unknown,Unknown,,
0SG33J1        ,9,Unknown,Unknown,,
0UQF8ZZ        ,9,Unknown,Unknown,,
82.92          ,9,1626,ASPIRACION DE BOLSA SINOVIAL DE MANO,,
0TPD0LZ        ,9,Unknown,Unknown,,
0T5C8ZZ        ,9,Unknown,Unknown,,
0JB03ZZ        ,9,Unknown,Unknown,,
0MT20ZZ        ,9,Unknown,Unknown,,
0UTL0ZZ        ,9,Unknown,Unknown,,
0H9T30Z        ,9,Unknown,Unknown,,
047L3D1        ,9,Unknown,Unknown,,
0DQE8ZZ        ,9,Unknown,Unknown,,
04BK0ZZ        ,9,Unknown,Unknown,,
33.41          ,9,Unknown,Unknown,,
05HM03Z        ,9,Unknown,Unknown,,
0Y6U0Z1        ,9,Unknown,Unknown,,
09960ZZ        ,9,Unknown,Unknown,,
03C70ZZ        ,9,Unknown,Unknown,,
0W3H0ZZ        ,9,Unknown,Unknown,,
0S9D4ZZ        ,9,Unknown,Unknown,,
08SD3ZZ        ,9,Unknown,Unknown,,
0QUG07Z        ,9,Unknown,Unknown,,
099Q0ZZ        ,9,Unknown,Unknown,,
B2161ZZ        ,9,Unknown,Unknown,,
38.92          ,9,Unknown,Unknown,,
BL30ZZZ        ,9,Unknown,Unknown,,
0BTB0ZZ        ,9,Unknown,Unknown,,
42.22          ,9,Unknown,Unknown,,
0W9J4ZZ        ,9,Unknown,Unknown,,
0LC70ZZ        ,9,Unknown,Unknown,,
2W3TX2Z        ,9,Unknown,Unknown,,
02H60KZ        ,9,Unknown,Unknown,,
2W18X6Z        ,9,Unknown,Unknown,,
0JQL0ZZ        ,9,Unknown,Unknown,,
0NBP0ZZ        ,9,Unknown,Unknown,,
27.61          ,9,Unknown,Unknown,,
B32TZ2Z        ,9,Unknown,Unknown,,
0SSB44Z        ,9,Unknown,Unknown,,
76.77          ,9,Unknown,Unknown,,
0PTQ0ZZ        ,9,Unknown,Unknown,,
0JHD3XZ        ,9,Unknown,Unknown,,
0WBM0ZZ        ,9,Unknown,Unknown,,
BP4PZZZ        ,9,Unknown,Unknown,,
0D9R30Z        ,9,Unknown,Unknown,,
0LB70ZX        ,9,Unknown,Unknown,,
0HC7XZZ        ,9,Unknown,Unknown,,
0UB93ZZ        ,9,Unknown,Unknown,,
0JUR07Z        ,9,Unknown,Unknown,,
89.47          ,9,Unknown,Unknown,,
0FBD8ZX        ,9,Unknown,Unknown,,
35.10          ,9,Unknown,Unknown,,
03C83ZZ        ,9,Unknown,Unknown,,
0HQTXZZ        ,9,Unknown,Unknown,,
0DV64ZZ        ,9,Unknown,Unknown,,
91.71          ,9,Unknown,Unknown,,
0F160ZB        ,9,Unknown,Unknown,,
04VD3DZ        ,9,Unknown,Unknown,,
08BP0ZX        ,9,Unknown,Unknown,,
0KB50ZZ        ,9,Unknown,Unknown,,
0SG10A0        ,9,Unknown,Unknown,,
0TB74ZZ        ,9,Unknown,Unknown,,
49.74          ,9,Unknown,Unknown,,
85.75          ,9,Unknown,Unknown,,
0VPS0JZ        ,9,Unknown,Unknown,,
09HE34Z        ,9,Unknown,Unknown,,
0BH14DZ        ,9,Unknown,Unknown,,
0JH70BZ        ,9,Unknown,Unknown,,
09B70ZZ        ,9,Unknown,Unknown,,
0H5FXZZ        ,9,Unknown,Unknown,,
0L834ZZ        ,9,Unknown,Unknown,,
0RB60ZZ        ,9,Unknown,Unknown,,
82.03          ,9,Unknown,Unknown,,
0PPP04Z        ,9,Unknown,Unknown,,
0RC30ZZ        ,9,Unknown,Unknown,,
0HB9XZX        ,9,Unknown,Unknown,,
12.63          ,9,Unknown,Unknown,,
0F9G4ZZ        ,9,Unknown,Unknown,,
0U544ZZ        ,9,Unknown,Unknown,,
0Y6Y0Z1        ,9,Unknown,Unknown,,
95.25          ,9,Unknown,Unknown,,
BT2310Z        ,9,Unknown,Unknown,,
0PUJ0JZ        ,9,Unknown,Unknown,,
DW041ZZ        ,9,Unknown,Unknown,,
02PA4MZ        ,9,Unknown,Unknown,,
0PSR04Z        ,9,Unknown,Unknown,,
42.21          ,9,613,ESOFAGOSCOPIA OPERATORIA POR INCISION,,
0HXLXZZ        ,9,Unknown,Unknown,,
0SCC0ZZ        ,9,Unknown,Unknown,,
06LM0ZZ        ,9,Unknown,Unknown,,
95.43          ,9,Unknown,Unknown,,
0MM24ZZ        ,9,Unknown,Unknown,,
0HR2X73        ,9,Unknown,Unknown,,
91.26          ,9,Unknown,Unknown,,
80.08          ,9,1826,"ARTROTOMIA PARA RETIRADA DE PROTESIS SIN SUSTITUCION, PIE Y DEDO DE PIE",,
0CQ30ZZ        ,9,Unknown,Unknown,,
00P60JZ        ,9,Unknown,Unknown,,
0SS9X4Z        ,9,Unknown,Unknown,,
4A01X2B        ,9,Unknown,Unknown,,
0T933ZZ        ,9,Unknown,Unknown,,
3E030RZ        ,9,Unknown,Unknown,,
00P00MZ        ,9,Unknown,Unknown,,
63.09          ,9,Unknown,Unknown,,
0W9D4ZZ        ,9,Unknown,Unknown,,
2W28X4Z        ,9,Unknown,Unknown,,
06LY4ZC        ,9,Unknown,Unknown,,
0DB84ZZ        ,9,Unknown,Unknown,,
099R0ZZ        ,9,Unknown,Unknown,,
97.36          ,9,476,EXTRACCION DE OTRO DISPOSITIVO DE FIJACION MANDIBULAR EXTERN,,
0W338ZZ        ,9,Unknown,Unknown,,
B92FZZZ        ,9,Unknown,Unknown,,
00P6X0Z        ,9,Unknown,Unknown,,
0QH906Z        ,9,Unknown,Unknown,,
0D190ZA        ,9,Unknown,Unknown,,
0W9N0ZZ        ,9,Unknown,Unknown,,
0GT00ZZ        ,9,Unknown,Unknown,,
0BBD3ZX        ,9,Unknown,Unknown,,
0MUN4JZ        ,9,Unknown,Unknown,,
37.68          ,9,1757,INSERCION DE DISPOSITIVO DE ASISTENCIA CARDIACA EXTERNO PERCUTANEO ,,
0U903ZZ        ,9,Unknown,Unknown,,
047D3ZZ        ,9,Unknown,Unknown,,
93.28          ,9,Unknown,Unknown,,
26.19          ,9,Unknown,Unknown,,
0BJL4ZZ        ,9,Unknown,Unknown,,
089430Z        ,9,Unknown,Unknown,,
047F3DZ        ,9,Unknown,Unknown,,
46.60          ,9,Unknown,Unknown,,
44.21          ,9,Unknown,Unknown,,
BR01ZZZ        ,9,Unknown,Unknown,,
55.86          ,9,Unknown,Unknown,,
0H98XZX        ,9,Unknown,Unknown,,
6A550Z2        ,9,Unknown,Unknown,,
0MUN07Z        ,9,Unknown,Unknown,,
DB021ZZ        ,9,Unknown,Unknown,,
3E0533Z        ,9,Unknown,Unknown,,
4A10X2Z        ,9,Unknown,Unknown,,
0STM0ZZ        ,9,Unknown,Unknown,,
0F9G40Z        ,9,Unknown,Unknown,,
B54PZZ3        ,9,Unknown,Unknown,,
BQ23ZZZ        ,9,Unknown,Unknown,,
08RSXKZ        ,9,Unknown,Unknown,,
3E0300M        ,9,Unknown,Unknown,,
04LA3DZ        ,9,Unknown,Unknown,,
0Y6P0Z2        ,9,Unknown,Unknown,,
0JH83XZ        ,9,Unknown,Unknown,,
0H97XZX        ,9,Unknown,Unknown,,
0JDP3ZZ        ,9,Unknown,Unknown,,
0MBV0ZZ        ,9,Unknown,Unknown,,
0D1B4ZP        ,9,Unknown,Unknown,,
0H0T07Z        ,9,Unknown,Unknown,,
03H833Z        ,9,Unknown,Unknown,,
2W3AX2Z        ,9,Unknown,Unknown,,
08P1XJZ        ,9,Unknown,Unknown,,
BQ0VZZZ        ,9,Unknown,Unknown,,
0YB90ZZ        ,9,Unknown,Unknown,,
0LU24JZ        ,9,Unknown,Unknown,,
02HL4JZ        ,9,Unknown,Unknown,,
0F913ZZ        ,9,Unknown,Unknown,,
91.86          ,9,Unknown,Unknown,,
0M824ZZ        ,9,Unknown,Unknown,,
0HRFX74        ,9,Unknown,Unknown,,
0F9630Z        ,9,Unknown,Unknown,,
0SSM0ZZ        ,9,Unknown,Unknown,,
07BP0ZZ        ,9,Unknown,Unknown,,
74.91          ,9,Unknown,Unknown,,
0PS7XZZ        ,9,Unknown,Unknown,,
0RBX0ZZ        ,9,Unknown,Unknown,,
69.97          ,9,Unknown,Unknown,,
77.06          ,9,Unknown,Unknown,,
75.38          ,9,Unknown,Unknown,,
0DBP3ZZ        ,9,Unknown,Unknown,,
80.97          ,9,63,OTRA ESCISION DE LA ARTICULACION DE TOBILLO,,
0JBB0ZX        ,9,Unknown,Unknown,,
08H105Z        ,9,Unknown,Unknown,,
0WP930Z        ,9,Unknown,Unknown,,
0UL70DZ        ,9,Unknown,Unknown,,
0F9040Z        ,9,Unknown,Unknown,,
0TPB0JZ        ,9,Unknown,Unknown,,
09.52          ,9,Unknown,Unknown,,
07913ZX        ,9,Unknown,Unknown,,
B51KYZZ        ,9,Unknown,Unknown,,
02B70ZZ        ,9,Unknown,Unknown,,
0UC04ZZ        ,9,Unknown,Unknown,,
BF25YZZ        ,9,Unknown,Unknown,,
0DL58ZZ        ,9,Unknown,Unknown,,
031809F        ,9,Unknown,Unknown,,
07BC3ZX        ,9,Unknown,Unknown,,
0KB60ZX        ,9,Unknown,Unknown,,
0YQU0ZZ        ,9,Unknown,Unknown,,
0GBR0ZX        ,9,Unknown,Unknown,,
0DJ67ZZ        ,9,Unknown,Unknown,,
0MB80ZZ        ,9,Unknown,Unknown,,
0Y6M0Z5        ,9,Unknown,Unknown,,
17.71          ,9,1392,ANGIOGRAFIA VASCULAR NO CORONARIA INTRAOPERATORIA POR FLUORESCENCIA [IFVA],,
10900ZC        ,9,Unknown,Unknown,,
0JBC3ZX        ,9,Unknown,Unknown,,
42.56          ,9,Unknown,Unknown,,
0QH706Z        ,9,Unknown,Unknown,,
BF12YZZ        ,9,Unknown,Unknown,,
06LY3ZC        ,9,Unknown,Unknown,,
3E0E3GC        ,9,Unknown,Unknown,,
0DBA8ZX        ,9,Unknown,Unknown,,
B440ZZZ        ,9,Unknown,Unknown,,
0TBC4ZZ        ,9,Unknown,Unknown,,
0TP9XDZ        ,9,Unknown,Unknown,,
